"Hugo_Symbol","CountInResponder","CountInNonResponder"
"ABCA13",3,1
"ABCA7",2,2
"ABCA9",1,1
"ABCC12",2,1
"ABCC5",2,1
"ABCC8",2,2
"ABCC9",2,1
"ABCD2",1,1
"ABCF1",3,1
"ABCG8",1,1
"ABI2",1,1
"ACACB",3,1
"ACBD5",1,1
"ACER3",1,1
"ACIN1",6,3
"ACTB",1,1
"ACTL6B",1,1
"ACTR8",1,1
"ADAM17",1,1
"ADAM21",3,1
"ADAMTS18",1,1
"ADAMTS19",1,1
"ADAMTS2",1,1
"ADAMTS7",2,1
"ADCY2",2,1
"ADCY5",1,1
"ADRA1A",1,1
"AFF1",2,2
"AFF2",1,1
"AFF3",1,1
"AGAP10",1,1
"AGO2",1,1
"AGO3",4,1
"AGRN",2,1
"AHCTF1",1,1
"AHNAK2",5,2
"AKAP6",2,1
"AKNA",2,1
"ALAS1",2,1
"ALDH5A1",1,1
"ALMS1",4,2
"ALPK2",2,2
"ALPK3",1,1
"AMBRA1",2,1
"ANK3",2,2
"ANKFN1",2,1
"ANKH",1,1
"ANKRD11",3,2
"ANKRD30A",2,5
"ANKRD30B",1,1
"ANKRD30BL",1,1
"ANO3",1,1
"ANO4",1,1
"ANXA6",1,1
"APBA2",1,1
"APC",2,1
"APC2",1,1
"APOB",3,1
"AR",1,1
"ARAP1",1,1
"ARFGEF2",1,1
"ARHGAP11A",1,1
"ARHGAP21",5,1
"ARHGAP30",1,2
"ARHGAP31",2,1
"ARHGAP39",2,3
"ARHGAP44",1,2
"ARHGEF1",2,1
"ARID1A",4,5
"ARID4A",2,2
"ARID4B",4,1
"ARL6",1,1
"ARMC2",1,1
"ARNTL",1,2
"ARRDC1",1,1
"ASAP1",2,1
"ASCC3",2,1
"ASH1L",4,3
"ASTN1",2,3
"ASXL1",1,2
"ASXL3",1,1
"ATF7IP2",2,2
"ATM",1,2
"ATP2B2",1,1
"ATP6V0D2",1,1
"ATP8B3",1,1
"ATP8B4",1,1
"ATRNL1",2,2
"AVL9",2,1
"AVPR1B",1,1
"B4GALNT4",1,1
"BAI2",1,1
"BARD1",2,1
"BARHL1",1,1
"BAZ2A",3,1
"BCL9",1,1
"BDP1",2,4
"BFSP2",2,1
"BIN2",1,1
"BIRC6",7,2
"BLM",1,5
"BMI1",1,1
"BMP1",1,2
"BMP10",1,1
"BOD1L1",4,1
"BRAP",2,1
"BRD3",1,1
"BRD4",1,1
"BRD7",3,1
"BRWD1",4,1
"BRWD3",1,1
"BSG",1,1
"BSN",2,1
"C10orf107",1,1
"C10orf118",3,1
"C11orf65",1,1
"C12orf44",1,1
"C15orf59",1,1
"C16orf91",1,1
"C17orf70",4,1
"C19orf57",1,2
"C1orf173",1,1
"C1orf56",2,1
"C1QTNF9B",1,1
"C2orf16",1,2
"C4orf21",1,2
"C6orf222",1,1
"C6orf89",2,1
"C7orf62",1,1
"C8orf76",1,1
"CABIN1",1,1
"CACNA1G",4,1
"CACNA1H",2,1
"CACNB2",1,1
"CAD",3,1
"CALCR",1,1
"CALR3",1,1
"CAMSAP1",1,1
"CAMSAP2",1,2
"CAP2",1,1
"CAPN2",1,1
"CAPRIN2",1,1
"CARD11",1,1
"CASC5",1,1
"CASKIN1",2,1
"CBLL1",1,1
"CBX7",1,1
"CCAR1",1,1
"CCDC101",1,1
"CCDC108",1,1
"CCDC11",1,1
"CCDC125",1,1
"CCDC141",2,1
"CCDC15",2,1
"CCDC18",1,1
"CCDC19",1,1
"CCDC36",1,1
"CCDC60",1,1
"CCDC66",1,1
"CCDC8",3,1
"CCDC88A",1,2
"CCNE2",1,1
"CCNJL",1,1
"CD163L1",1,1
"CD209",1,1
"CD6",1,1
"CDCA7",1,1
"CDH1",3,3
"CDH10",1,1
"CDH2",1,1
"CDH22",1,1
"CDH6",2,2
"CDHR1",2,1
"CELF5",1,1
"CELSR1",1,1
"CEP250",1,1
"CFH",2,1
"CHAF1A",1,1
"CHD2",1,1
"CHD6",3,2
"CHD7",2,1
"CHD8",1,1
"CHRDL2",1,1
"CHRM3",1,1
"CHRND",1,2
"CHST11",1,1
"CIC",1,1
"CKAP5",1,3
"CLIP3",1,1
"CMYA5",1,3
"CNOT10",2,1
"CNTNAP2",2,2
"CNTNAP5",1,1
"CNTRL",5,1
"CNTROB",1,2
"COBLL1",1,2
"COL11A2",1,3
"COL18A1",2,2
"COL22A1",2,1
"COL24A1",1,1
"COL4A2",2,1
"COL5A1",1,1
"COMT",1,1
"CORO1C",1,1
"CPSF1",1,1
"CPSF4",1,1
"CPXM2",1,1
"CR1",3,2
"CRB2",1,1
"CREBBP",3,2
"CREBZF",1,2
"CRISP3",1,1
"CRYBG3",1,2
"CSMD1",1,2
"CSMD2",3,3
"CSMD3",4,3
"CSPG4",1,1
"CST4",1,1
"CTTNBP2",1,1
"CUBN",8,1
"CWC22",1,1
"CYB5D2",1,2
"CYP1A2",1,1
"CYP4F3",2,2
"DAXX",1,1
"DCAF8L1",1,1
"DCBLD1",1,1
"DCC",4,4
"DCHS2",1,2
"DCLK1",1,1
"DCLK2",2,1
"DCST1",2,1
"DDB2",2,1
"DDI1",1,1
"DDX19A",1,1
"DDX24",2,1
"DDX39B",1,2
"DDX5",1,1
"DDX60L",2,1
"DENND4C",1,1
"DIAPH3",1,3
"DIDO1",5,1
"DIS3",2,1
"DIS3L",1,2
"DLGAP4",3,1
"DMBT1",1,2
"DMXL2",2,1
"DNAH10",3,3
"DNAH11",2,3
"DNAH8",6,1
"DNAH9",4,1
"DNAJC11",1,1
"DNAJC13",1,2
"DNAJC6",2,2
"DNM2",1,2
"DNM3",1,1
"DOCK2",1,1
"DOCK4",1,1
"DSCAM",3,2
"DSE",1,2
"DSG1",1,2
"DSP",4,2
"DST",9,3
"DUOX1",1,1
"DYNC1H1",5,2
"DYNC1LI1",1,2
"DYNC2H1",2,2
"EBLN2",2,1
"ECT2L",1,1
"EDC3",1,1
"EHBP1",2,1
"EIF2AK4",4,1
"ELF3",1,1
"ELP2",2,1
"EMC3",1,1
"EMILIN2",1,1
"EMR1",1,1
"EP300",2,2
"EP400",3,1
"EPB41",1,1
"EPB41L3",1,1
"EPB41L5",2,2
"EPB42",1,1
"EPHA1",3,1
"EPHA5",2,1
"EPPK1",2,1
"EPS15",3,1
"EPS8L1",2,1
"EPX",2,1
"ERBB2IP",2,1
"ERBB3",7,9
"ERBB4",13,14
"ERCC3",1,1
"ERCC6",1,1
"ESRP1",1,1
"ETS2",1,1
"ETV5",1,1
"EVI2B",2,1
"EXOC1",1,2
"EXOC4",1,1
"EXPH5",1,1
"EZH1",1,1
"F13B",1,1
"F2RL3",1,1
"FAM111A",1,1
"FAM134B",1,1
"FAM13B",1,1
"FAM149A",1,1
"FAM172A",1,1
"FAM208B",1,3
"FAM47B",1,1
"FAM47C",5,2
"FAM83B",1,1
"FAM84B",1,1
"FAM98A",2,2
"FAM98B",1,1
"FANCA",3,1
"FANCI",2,1
"FANCM",1,1
"FARP1",2,1
"FARP2",1,1
"FAT1",5,3
"FAT2",1,1
"FAT3",1,3
"FAT4",7,3
"FATE1",1,1
"FBLN1",1,6
"FCN2",1,1
"FEM1B",3,1
"FGFR3",3,1
"FGFR4",1,1
"FIGF",1,2
"FLG",4,3
"FLG2",4,2
"FLNA",2,1
"FLNB",4,1
"FLNC",2,2
"FLT3",1,2
"FLT4",3,1
"FMN2",2,4
"FNBP4",3,1
"FNDC3B",3,1
"FOSL2",1,1
"FOXK2",1,1
"FRAS1",1,2
"FREM1",1,1
"FREM2",3,1
"FRG1B",8,6
"FRMPD1",4,1
"FRMPD3",1,1
"FRY",5,2
"FRZB",1,1
"FSHR",1,1
"FUT6",2,1
"FZR1",2,1
"G6PD",2,1
"GABRA2",1,1
"GABRE",3,1
"GAK",1,1
"GALM",1,1
"GALNT18",1,1
"GAPVD1",3,1
"GCA",1,1
"GCC1",1,1
"GDI2",1,1
"GGCX",2,1
"GHR",2,1
"GIGYF2",2,1
"GIMAP8",2,1
"GLIPR1L1",1,1
"GLIS3",1,1
"GNL2",3,1
"GOLGA1",1,1
"GOLGA4",2,1
"GOLGB1",2,1
"GOLIM4",1,1
"GPNMB",1,2
"GPR179",2,2
"GPR52",1,1
"GPR98",2,2
"GPRASP1",1,1
"GPS2",1,1
"GRAMD1B",1,2
"GRAMD1C",1,1
"GRID2",2,1
"GRIK2",1,1
"GRIK3",1,2
"GRIN2A",3,2
"GRIN2B",1,1
"GRK4",2,2
"GRTP1",1,1
"GSN",1,1
"GSTM5",1,1
"GTF2F2",1,1
"GTF3C1",2,2
"GUF1",1,1
"GYS2",3,1
"H3F3B",1,1
"HCK",1,1
"HCN1",1,1
"HDAC4",2,2
"HEATR1",1,2
"HEATR4",1,1
"HELZ",2,1
"HERC2",1,1
"HIP1",2,1
"HIPK1",3,2
"HIRA",1,1
"HIST1H1C",1,1
"HIST1H3D",1,1
"HIST1H3F",1,2
"HK2",1,1
"HKDC1",1,2
"HLCS",1,1
"HMCN1",4,3
"HMGXB4",2,1
"HMHA1",1,2
"HNRNPH1",1,2
"HNRNPM",1,3
"HOXA2",1,1
"HRAS",2,1
"HSD17B2",1,1
"HSF2",1,1
"HSPA5",2,2
"HUWE1",2,1
"HYOU1",1,2
"IBTK",1,1
"ICK",1,1
"IDH3B",2,2
"IFIH1",1,1
"IFNAR2",1,1
"IFT172",1,1
"IGSF10",1,1
"IKBIP",1,1
"IKZF3",1,1
"IL1R2",1,1
"IL31RA",1,1
"IL9R",1,1
"IMMT",4,1
"INO80D",2,1
"INSIG1",1,1
"INSR",1,1
"INTS12",1,1
"INTS7",1,1
"IP6K2",1,1
"IQGAP2",2,1
"IQSEC3",2,1
"IRF7",2,2
"IRS1",3,1
"IRS4",1,7
"IST1",1,2
"ITGA5",1,1
"ITGAE",1,1
"ITGAL",3,2
"ITGB6",3,1
"ITIH1",1,2
"ITPR1",3,2
"ITPR3",1,2
"ITSN1",1,1
"ITSN2",1,1
"IVNS1ABP",1,1
"JAG1",1,1
"JAK2",1,1
"JARID2",1,1
"JMJD1C",3,2
"KALRN",4,1
"KANSL1L",1,1
"KBTBD4",1,1
"KCNA7",1,1
"KCNC4",1,2
"KCNH8",2,1
"KCNJ2",1,1
"KCNK5",1,2
"KCNMA1",1,1
"KCNN1",1,1
"KCTD16",1,2
"KDM3A",1,1
"KDM6A",5,1
"KDM6B",2,1
"KIAA0430",2,1
"KIAA0754",1,1
"KIAA0907",1,1
"KIAA0922",4,1
"KIAA0947",1,4
"KIAA1217",1,2
"KIAA1244",2,1
"KIAA1377",4,1
"KIAA1522",3,2
"KIAA1549L",2,1
"KIDINS220",1,1
"KIF21B",2,1
"KIF23",2,1
"KIF3B",1,1
"KIR3DL1",2,1
"KLC2",1,1
"KLHL18",1,1
"KMT2A",3,2
"KMT2C",19,1
"KMT2D",11,6
"KMT2E",2,2
"KNDC1",2,1
"KPNA2",1,1
"KPRP",1,3
"KRAS",1,1
"KRT37",1,1
"KRT80",1,1
"KRTAP4-4",1,2
"KRTAP4-6",2,2
"L3MBTL1",1,2
"LAMA1",2,4
"LAMA2",4,2
"LAMA3",6,1
"LAMA5",4,2
"LAMB1",3,2
"LAMB3",1,1
"LAMB4",3,1
"LAMP3",1,1
"LAMP5",1,1
"LARP1",2,2
"LATS1",2,1
"LCE2D",1,1
"LCT",4,1
"LDLRAD3",1,2
"LINGO2",2,1
"LIPE",1,1
"LMLN",2,1
"LMO7",3,2
"LPHN2",1,1
"LPPR4",2,1
"LRBA",2,2
"LRIG1",2,1
"LRIT1",1,1
"LRP11",1,1
"LRP1B",3,1
"LRPPRC",3,1
"LRRIQ1",3,2
"LYST",1,2
"MADD",3,1
"MAGEA6",1,1
"MAGEC1",4,1
"MAP2",1,1
"MAP3K15",1,1
"MAP3K19",2,1
"MARCH6",1,1
"MARCH9",1,1
"MASP2",1,1
"MAST4",5,1
"MATR3",2,2
"MCCC1",1,1
"MCM10",1,1
"MDC1",2,3
"MDM1",1,1
"MDN1",4,5
"MED13",3,1
"MED13L",1,1
"MED15",1,1
"MED4",1,1
"MEGF8",1,1
"MEN1",2,1
"MESP2",1,1
"METTL5",1,1
"MFSD12",1,1
"MGA",1,1
"MIB1",1,1
"MICALCL",1,1
"MIER1",2,1
"MIPOL1",2,1
"MKI67",4,2
"MKNK2",1,1
"MLLT4",2,1
"MLLT6",1,1
"MMP16",1,1
"MON2",3,1
"MPP3",1,1
"MROH6",1,1
"MROH8",1,1
"MTA3",1,1
"MUC16",10,12
"MUC17",5,2
"MUC2",2,1
"MUC21",1,2
"MUC4",2,3
"MUC5B",1,4
"MUC7",1,3
"MUSK",1,1
"MXRA5",1,1
"MYBL1",1,1
"MYBPC1",1,1
"MYCBP2",7,1
"MYH1",4,1
"MYH11",3,2
"MYH15",4,1
"MYH4",4,1
"MYH7B",2,2
"MYH9",1,1
"MYL10",1,1
"MYNN",2,1
"MYO10",1,3
"MYO16",1,3
"MYO18A",1,2
"MYO1A",1,1
"MYO1H",2,1
"MYOT",1,1
"MYT1",1,2
"MYT1L",1,1
"N4BP2L2",1,1
"NAA15",1,1
"NAP1L3",1,1
"NBEA",3,1
"NBEAL1",1,1
"NBEAL2",1,2
"NBPF1",1,2
"NBPF10",6,2
"NBPF14",3,2
"NBPF3",1,2
"NBPF9",2,2
"NCAM1",1,1
"NCAM2",2,1
"NCKAP5",2,1
"NCOA1",1,2
"NEB",3,4
"NEBL",2,1
"NEDD4L",1,1
"NEFH",2,2
"NEK1",2,1
"NEK11",1,1
"NELL1",1,1
"NEO1",2,1
"NES",1,1
"NETO2",1,1
"NFAT5",1,1
"NFKBIZ",1,1
"NKTR",2,1
"NLRC5",4,2
"NLRP1",1,1
"NLRP8",1,2
"NOS1",1,1
"NOS2",1,2
"NOTCH4",1,1
"NRN1L",1,1
"NRP1",1,1
"NSRP1",1,2
"NTRK2",2,1
"NUDT16",1,2
"NUP153",3,1
"NUP188",1,2
"NUP205",3,1
"NYAP1",1,1
"OBSCN",2,1
"OLFM3",1,1
"OPHN1",1,1
"OR10AD1",1,1
"OR10S1",1,1
"OR13C3",1,1
"OR1F1",2,1
"OR1I1",1,1
"OR2AT4",2,2
"OR2G3",1,1
"OR4C15",1,1
"OR51L1",1,1
"OR52B2",1,1
"OR5D13",1,1
"OR5L2",1,3
"ORAI1",1,1
"OSBPL1A",1,1
"OSBPL5",1,1
"OSBPL8",1,1
"OTOF",1,2
"OTUD4",1,1
"OXCT1",1,1
"OXSM",2,1
"PADI3",1,2
"PAN2",4,1
"PAPD4",2,1
"PAPPA",1,1
"PARP1",2,1
"PARP4",1,1
"PASK",3,1
"PAX4",1,1
"PC",1,1
"PCDH11X",1,1
"PCDH15",1,1
"PCDH17",1,1
"PCDHA6",1,1
"PCDHAC1",1,2
"PCDHB15",1,1
"PCDHGA2",2,1
"PCDHGB1",1,2
"PCLO",5,2
"PCNT",3,1
"PCNXL2",1,1
"PDCL3",1,1
"PDDC1",1,1
"PDE3A",3,1
"PDE4DIP",5,3
"PDGFRB",2,1
"PDILT",1,1
"PDP1",1,1
"PDS5B",1,2
"PDZD2",2,2
"PDZRN4",2,3
"PEG3",2,1
"PEX13",1,1
"PEX5L",2,1
"PFKFB2",1,1
"PFKL",1,1
"PGK1",1,1
"PHB2",2,1
"PHF1",3,1
"PHF15",1,1
"PHLDA3",1,1
"PHLPP2",3,1
"PIK3C2A",2,1
"PIK3CA",6,3
"PIK3CG",1,3
"PIK3R1",3,1
"PIKFYVE",2,2
"PITX2",1,1
"PIWIL4",1,1
"PKD1L1",1,1
"PKHD1",1,1
"PKP4",1,1
"PLCB4",1,1
"PLCD4",2,1
"PLCG2",1,2
"PLCH1",1,1
"PLD1",1,1
"PLEC",4,2
"PLXNA2",1,3
"PMS2",1,1
"PNMAL2",1,1
"POC1B-GALNT4",1,1
"POLG",2,1
"POLR1C",1,1
"POLR2A",4,1
"PPCS",1,2
"PPEF1",1,1
"PPFIBP2",2,1
"PPIG",1,1
"PPP1R12B",1,1
"PPP1R15A",1,1
"PPP1R18",1,1
"PPP4R1",2,1
"PPTC7",1,1
"PRB2",1,1
"PRDM13",1,2
"PRG4",5,1
"PRICKLE1",1,2
"PRKCH",1,1
"PRKD1",3,1
"PRKD2",1,2
"PRKDC",1,1
"PROM1",1,1
"PROM2",1,2
"PROX1",2,2
"PRPF39",1,1
"PRPF8",3,3
"PRRC2A",3,1
"PRSS12",2,2
"PRSS37",1,1
"PRX",1,1
"PSD2",1,1
"PSD3",1,5
"PSMD2",1,1
"PSME4",1,1
"PTCD1",1,1
"PTCD3",1,1
"PTCHD4",1,1
"PTGER2",1,1
"PTGS1",3,1
"PTGS2",1,1
"PTPN13",1,1
"PTPN3",1,2
"PTPRD",1,2
"PTPRG",1,1
"PTPRH",1,1
"PTPRN",1,2
"PTPRO",1,1
"PTPRT",2,1
"PTPRU",1,1
"PXDN",2,1
"PZP",2,1
"RAB11FIP3",1,1
"RAB3GAP2",1,2
"RAI14",2,3
"RALGAPA2",1,2
"RALGPS2",1,1
"RAP1GDS1",1,1
"RAPGEF4",2,1
"RARG",2,1
"RASSF5",2,1
"RAVER1",1,1
"RB1",7,2
"RB1CC1",1,1
"RBBP6",1,2
"RBL1",1,2
"RBM19",1,1
"RBMX",1,1
"RBP3",2,1
"RC3H2",1,4
"RCSD1",1,1
"RECQL4",2,1
"REV3L",1,1
"RGL1",3,1
"RGS6",2,1
"RHOA",2,1
"RHPN2",1,1
"RIC8B",1,2
"RICTOR",1,4
"RIF1",3,3
"RILPL2",1,1
"RIMS1",1,2
"RNF103",2,1
"RNF123",1,1
"RNF133",1,1
"RNF148",2,1
"RNF168",2,5
"RNF17",2,2
"RNF213",5,1
"ROBO1",1,3
"ROBO2",4,1
"ROPN1B",1,1
"RP1",1,1
"RP11-12J10.3",1,1
"RPGRIP1",3,1
"RPGRIP1L",2,1
"RPLP0",2,2
"RPRM",1,1
"RPS6KC1",1,1
"RPS8",1,1
"RRAGA",1,1
"RREB1",3,1
"RSBN1",1,1
"RSC1A1",1,2
"RSL1D1",1,1
"RSPH6A",1,2
"RTN3",1,2
"RXFP1",1,1
"RXRA",1,3
"RYR1",3,3
"SACS",3,2
"SALL3",1,1
"SASH1",1,1
"SAT1",1,1
"SBF2",1,1
"SCD5",1,1
"SCN10A",1,2
"SCN1A",1,3
"SCN3A",2,1
"SCN5A",1,1
"SCN7A",2,1
"SCN8A",2,2
"SCN9A",2,1
"SCNN1G",1,1
"SCRIB",2,1
"SDK2",1,1
"SDR42E1",1,1
"SEC24B",1,1
"SEMG2",1,2
"SENP6",1,1
"SENP7",1,1
"SEPP1",1,1
"SERPINA4",1,1
"SERPINF1",1,1
"SETBP1",3,1
"SETD1A",2,2
"SETD2",3,1
"SEZ6L2",1,1
"SF3B1",1,1
"SF3B3",1,1
"SGCG",1,1
"SH3D21",1,1
"SHANK1",2,2
"SHC4",2,1
"SIAE",1,1
"SIDT1",2,1
"SKIV2L",1,1
"SLC12A4",1,1
"SLC12A6",2,1
"SLC15A2",2,1
"SLC18A3",1,1
"SLC25A13",1,2
"SLC25A3",2,1
"SLC28A1",1,1
"SLC32A1",1,2
"SLC34A2",2,1
"SLC38A1",1,1
"SLC38A10",2,1
"SLC5A8",1,2
"SLC8A1",1,1
"SLC9A8",2,1
"SLCO1B1",2,1
"SLCO2B1",3,2
"SLIT2",1,1
"SLITRK5",1,1
"SMARCA1",1,1
"SMARCA2",1,1
"SMARCA4",1,1
"SMARCAL1",1,2
"SMARCC2",2,1
"SMARCD2",1,1
"SMC1B",3,2
"SMC3",1,1
"SMC5",1,1
"SMEK2",3,1
"SMG1",2,2
"SMG7",3,1
"SMTNL2",1,1
"SNRK",1,1
"SNTB1",1,1
"SNW1",1,1
"SNX19",1,1
"SNX21",2,1
"SOGA3",1,1
"SORL1",1,1
"SPATA16",2,1
"SPATA31D1",2,1
"SPECC1L",1,2
"SPEN",6,16
"SPG11",1,2
"SPICE1",1,1
"SPIRE2",1,2
"SPOCK3",1,1
"SPOPL",1,1
"SPRY3",1,1
"SPTA1",3,1
"SPTAN1",2,1
"SRCAP",5,1
"SRGAP1",2,1
"SRP72",1,1
"SRRM1",3,2
"SSFA2",1,1
"SSTR4",1,1
"SSX2IP",1,2
"ST14",1,1
"ST18",1,1
"STAG1",3,1
"STAT2",1,1
"STRADA",1,1
"STRC",1,1
"STUB1",1,1
"STX16",1,1
"SUGP2",2,1
"SULT1E1",1,1
"SUPT6H",2,1
"SV2C",1,1
"SVEP1",2,2
"SYNE1",9,3
"SYNE2",6,3
"SYT10",3,1
"SYTL2",2,1
"SYTL5",2,1
"SZT2",5,1
"TAF1L",1,1
"TAF4B",1,1
"TAF6",1,1
"TALDO1",1,1
"TAS2R20",3,1
"TATDN2",4,1
"TBC1D1",2,1
"TBC1D25",1,1
"TBC1D31",1,1
"TBL1XR1",1,1
"TBRG4",1,1
"TBXAS1",1,1
"TCEA2",1,1
"TCEB3B",1,1
"TCHH",1,3
"TCHHL1",1,1
"TEKT2",1,2
"TEP1",1,1
"TET1",1,1
"TET2",1,1
"TEX15",2,1
"TG",6,1
"TGFBR3",1,1
"TGM2",1,2
"TGM7",1,1
"THEG",1,1
"THOC2",3,2
"TICRR",1,1
"TLR7",2,1
"TMC2",1,1
"TMC7",1,1
"TMEM132D",2,1
"TMEM184C",1,1
"TMEM99",2,1
"TMPRSS9",1,1
"TNIP1",1,1
"TNKS",1,2
"TNKS2",1,1
"TNPO1",1,1
"TNPO3",2,1
"TNRC6B",2,1
"TNRC6C",1,1
"TOMM70A",2,2
"TOP2B",2,1
"TP53",11,16
"TP53BP1",1,1
"TP63",3,1
"TPCN1",1,1
"TPR",2,1
"TPTE",2,1
"TRAIP",1,1
"TRAK1",2,1
"TRANK1",2,2
"TRAPPC8",2,1
"TRIM17",1,1
"TRIO",1,1
"TRIP11",4,1
"TROAP",2,2
"TRPM2",1,1
"TRPV1",1,1
"TRRAP",3,1
"TSNARE1",1,1
"TSPAN6",1,1
"TSPYL1",1,1
"TTC13",1,1
"TTC16",1,1
"TTC33",1,1
"TTC7A",1,1
"TTN",19,22
"TUBB4A",1,1
"TUBGCP4",2,1
"TXNDC5",1,1
"TYRO3",1,10
"UBBP4",1,1
"UBE3C",3,2
"UBR1",1,1
"UBR2",2,3
"UBR4",1,2
"UBR5",2,5
"ULK4",1,1
"UNC13B",2,1
"UNC13C",2,1
"UNC5D",2,1
"UNC79",3,2
"UPP1",1,1
"USP31",4,2
"USP32",2,2
"USP34",3,2
"USP38",1,1
"USP4",1,1
"USP54",3,1
"UTP20",1,1
"UTP6",1,1
"VARS",2,1
"VCAM1",1,1
"VCAN",4,1
"VN1R2",1,1
"VPS13A",2,2
"VPS13D",5,2
"VPS52",2,1
"VSTM1",1,1
"VWF",2,1
"WDFY3",2,2
"WDHD1",2,1
"WDR33",2,2
"WDR49",1,1
"WDR52",1,1
"WDR6",1,1
"WDR7",1,3
"WDR78",2,1
"WDR96",1,1
"WDTC1",1,1
"WRN",1,1
"WRNIP1",1,1
"XDH",1,1
"XIRP1",2,2
"XIRP2",7,2
"XPR1",2,1
"XRN1",2,1
"YY2",1,1
"ZBTB20",1,1
"ZBTB24",1,1
"ZBTB33",3,1
"ZBTB7B",2,1
"ZC3H10",1,1
"ZC3H12A",1,1
"ZCCHC11",2,1
"ZCWPW1",1,1
"ZDHHC8",1,1
"ZFHX3",1,2
"ZFHX4",1,1
"ZFP14",2,1
"ZFP30",1,2
"ZFP36L1",4,1
"ZFP41",1,1
"ZFP82",1,1
"ZFPM2",2,1
"ZFYVE26",2,1
"ZFYVE9",2,1
"ZIM2",1,1
"ZKSCAN1",1,1
"ZMYND8",3,1
"ZNF106",4,3
"ZNF107",1,1
"ZNF117",1,1
"ZNF141",2,1
"ZNF180",3,1
"ZNF181",2,1
"ZNF208",6,5
"ZNF211",1,1
"ZNF224",1,1
"ZNF236",3,1
"ZNF248",1,1
"ZNF253",3,2
"ZNF267",3,1
"ZNF283",1,1
"ZNF286B",1,1
"ZNF296",1,1
"ZNF300",1,2
"ZNF318",2,1
"ZNF341",1,1
"ZNF385B",1,1
"ZNF43",3,3
"ZNF430",6,4
"ZNF443",1,1
"ZNF468",1,1
"ZNF479",5,2
"ZNF493",2,1
"ZNF511",1,1
"ZNF521",2,3
"ZNF532",2,1
"ZNF546",3,1
"ZNF560",3,2
"ZNF57",1,3
"ZNF577",1,1
"ZNF592",1,2
"ZNF599",1,2
"ZNF611",1,1
"ZNF616",1,1
"ZNF626",7,3
"ZNF649",1,2
"ZNF664",1,1
"ZNF676",1,1
"ZNF677",1,1
"ZNF678",1,3
"ZNF680",2,1
"ZNF681",4,3
"ZNF683",1,1
"ZNF7",1,1
"ZNF708",5,2
"ZNF714",3,3
"ZNF716",3,6
"ZNF721",3,5
"ZNF724P",1,2
"ZNF737",4,4
"ZNF768",2,2
"ZNF780A",4,1
"ZNF804A",1,1
"ZNF814",1,3
"ZNF816",1,1
"ZNF831",1,2
"ZNF836",1,2
"ZNF844",5,3
"ZNF845",2,2
"ZNF878",1,3
"ZNF90",3,3
"ZNF91",8,5
"ZNF92",2,2
"ZNF93",1,5
"ZNF99",1,4
"ZSWIM3",1,1
"ZSWIM8",2,1
"ZZEF1",4,1
